TransactionID,isFraud,TransactionDT,TransactionAmt,ProductCD,card1,card2,card3,card4,card5,card6,addr1,addr2,P_emaildomain,R_emaildomain,C1,C2,C5,C11,C13,C14,D1,D2,M1,M2,M3,M4,V11,V15,V29,V35,V45,V53,V62,V75,V87,V94,V100,V200,V300
2987020,0,86783,34.79,W,2855,321.0,150.0,visa,226.0,debit,330.0,87.0,gmail.com,gmail.com,1,2,0,2,3,2,172,30.0,nan,T,T,M1,0.715,0.0,0.0,1.1885,1.0858,0.7611,0.0,,0.9709,0.0,3.6053,4.7284,0.8113
2987021,0,86786,71.44,C,16063,194.0,150.0,visa,226.0,debit,325.0,87.0,anonymous.com,gmail.com,3,1,0,4,3,1,168,32.0,T,nan,T,M0,0.6713,0.0,0.0,1.6742,0.6573,0.4763,0.0,0.0,1.1311,0.0,9.0553,4.1083,0.0482
2987022,0,86793,18.03,W,15915,111.0,150.0,visa,226.0,debit,330.0,87.0,yahoo.com,anonymous.com,3,1,1,3,5,1,216,1.0,T,nan,T,nan,0.619,0.0,0.0,1.1505,-0.4314,1.0598,1.0,0.0,1.632,0.0,20.7906,0.2473,6.2142
2987023,0,86802,47.61,R,18981,360.0,150.0,visa,226.0,debit,330.0,87.0,gmail.com,outlook.com,2,3,2,2,3,1,23,,T,nan,nan,M0,0.3719,0.0,0.0,1.4494,1.2092,0.9572,0.0,0.0,1.2395,0.0,15.8477,6.3519,5.0033
2987024,0,86814,45.2,S,18232,490.0,150.0,visa,226.0,credit,325.0,87.0,gmail.com,yahoo.com,1,2,0,1,1,1,72,,F,T,F,M1,0.7272,0.0,0.0,0.8468,1.7679,0.8131,0.0,1.0,1.2725,0.0,2.0971,0.2399,0.3136
2987025,0,86845,5.0,W,6958,111.0,185.0,visa,219.0,debit,330.0,87.0,gmail.com,nan,2,3,4,3,3,1,89,71.0,nan,T,T,M1,0.4938,0.0,0.0,1.0213,1.7279,-0.0087,0.0,0.0,0.9205,0.0,13.181,2.2297,4.0755
2987026,0,86850,248.46,W,15705,225.0,150.0,visa,226.0,credit,325.0,87.0,gmail.com,yahoo.com,1,2,0,3,3,4,72,9.0,T,nan,nan,nan,0.271,1.0,,1.5501,1.6987,0.5391,0.0,1.0,1.2678,0.0,0.0956,3.6894,2.1558
2987027,0,86864,120.38,C,11108,111.0,150.0,mastercard,,debit,325.0,87.0,outlook.com,gmail.com,6,2,1,1,5,2,192,19.0,T,nan,T,M0,0.3961,0.0,0.0,0.1019,-0.0821,0.5105,0.0,0.0,1.3442,,3.8346,6.3476,0.3891
2987028,0,86882,22.26,W,19302,111.0,150.0,visa,166.0,debit,325.0,87.0,yahoo.com,nan,2,3,1,1,3,1,277,19.0,nan,nan,nan,M2,0.3181,1.0,1.0,1.5876,1.3631,1.4927,1.0,0.0,1.194,0.0,4.9175,3.282,4.78
2987029,0,86883,11.0,W,6761,360.0,150.0,mastercard,226.0,debit,204.0,87.0,yahoo.com,gmail.com,2,1,2,2,5,2,24,,nan,F,nan,M0,0.8059,0.0,1.0,1.2619,0.3614,0.5528,1.0,0.0,0.8107,0.0,1.0002,6.0959,0.0994
2987030,0,86902,46.88,W,1688,321.0,150.0,visa,166.0,debit,330.0,87.0,yahoo.com,nan,3,3,0,3,3,4,5,22.0,T,nan,nan,M0,0.7719,0.0,1.0,0.0027,1.7755,1.49,0.0,,0.9645,,10.2427,13.7121,2.696
2987031,0,86905,36.11,W,7306,111.0,150.0,mastercard,166.0,debit,299.0,87.0,yahoo.com,nan,2,3,0,2,2,3,133,5.0,T,nan,nan,nan,0.8447,0.0,0.0,1.0709,1.0869,1.3026,0.0,0.0,1.0347,0.0,1.2612,0.8721,0.6425
2987032,0,86907,47.26,H,6072,194.0,150.0,mastercard,226.0,debit,325.0,87.0,gmail.com,nan,2,4,0,2,3,4,71,,T,F,nan,M0,0.5203,1.0,0.0,0.2228,2.2754,0.5062,0.0,1.0,1.3693,0.0,6.7806,6.7475,3.9334
2987033,0,86966,40.11,W,18739,555.0,185.0,mastercard,102.0,debit,204.0,87.0,gmail.com,nan,3,4,0,2,3,2,279,9.0,T,F,F,M0,0.2992,0.0,0.0,1.4134,1.3633,0.0989,0.0,0.0,1.1083,0.0,0.0934,7.09,0.551
2987034,0,87034,54.94,W,19071,490.0,150.0,mastercard,226.0,credit,325.0,87.0,yahoo.com,nan,3,3,0,1,1,2,123,8.0,T,T,F,nan,0.4516,0.0,,0.3951,1.8895,0.245,0.0,0.0,1.253,1.0,4.6268,4.8105,0.5803
2987035,0,87067,140.8,S,11909,490.0,150.0,visa,166.0,debit,441.0,87.0,anonymous.com,nan,3,4,0,2,2,2,37,,nan,T,T,M1,0.524,0.0,0.0,0.5506,1.3344,1.1696,0.0,0.0,0.6944,1.0,23.3408,2.4817,4.607
2987036,0,87074,58.45,H,13713,225.0,150.0,visa,219.0,debit,330.0,,aol.com,nan,1,4,0,2,1,5,75,34.0,nan,T,T,M1,0.3996,0.0,0.0,1.4498,1.406,0.5712,1.0,0.0,1.3595,0.0,1.4102,9.4687,2.8722
2987037,0,87076,11.59,W,13614,321.0,150.0,visa,226.0,debit,325.0,87.0,gmail.com,gmail.com,3,2,0,1,4,4,228,6.0,T,T,T,M0,0.5814,0.0,1.0,0.7666,1.7572,0.3212,0.0,0.0,1.1729,0.0,3.5032,1.3228,2.541
2987038,0,87099,129.36,H,10321,194.0,150.0,visa,226.0,debit,325.0,87.0,gmail.com,gmail.com,2,3,1,3,4,3,188,,T,nan,F,M0,0.466,0.0,0.0,0.7686,1.2021,0.9858,0.0,0.0,0.7028,0.0,13.8623,1.6588,0.3647
2987039,0,87111,170.82,W,7086,,150.0,visa,219.0,debit,325.0,87.0,hotmail.com,gmail.com,3,1,1,1,3,3,62,53.0,T,T,T,M0,0.5064,,0.0,0.7651,1.3026,0.4319,2.0,0.0,1.147,0.0,31.5637,8.679,2.2375
2987040,0,87113,774.38,H,13731,225.0,150.0,visa,226.0,debit,204.0,,yahoo.com,gmail.com,2,1,0,1,3,1,25,,T,T,T,M0,0.3721,0.0,0.0,1.1244,1.6143,1.1093,2.0,0.0,1.1081,0.0,7.202,1.87,2.2527
2987041,0,87127,10.77,W,14341,321.0,150.0,visa,226.0,credit,299.0,87.0,outlook.com,gmail.com,2,2,0,2,1,1,11,,nan,T,T,M0,0.5124,0.0,0.0,0.8833,2.1522,0.6572,0.0,0.0,0.9434,0.0,0.3154,2.3026,3.2332
2987042,0,87128,42.22,W,7667,194.0,150.0,visa,226.0,credit,299.0,87.0,gmail.com,nan,3,1,0,3,6,1,18,,nan,T,T,M1,0.5098,0.0,0.0,1.0646,0.631,0.9865,0.0,1.0,0.6091,0.0,5.2895,15.3194,4.5161
2987043,0,87176,4.13,W,13976,490.0,150.0,visa,137.0,debit,441.0,87.0,gmail.com,nan,4,2,1,3,3,2,58,29.0,T,T,T,M0,0.4399,0.0,0.0,1.0419,0.5332,0.3193,1.0,0.0,0.8375,,1.0261,4.9139,2.7401
2987044,0,87182,57.58,W,18374,111.0,150.0,visa,166.0,credit,299.0,87.0,gmail.com,nan,1,1,0,3,5,2,126,,T,T,F,M2,0.5688,0.0,0.0,1.071,1.4595,1.0843,1.0,0.0,1.4408,0.0,30.9927,2.4895,1.4112
2987045,0,87203,19.14,R,13333,194.0,150.0,american express,166.0,debit,325.0,87.0,gmail.com,gmail.com,2,2,1,1,8,1,18,3.0,T,T,T,nan,0.2173,0.0,0.0,0.2039,1.1,0.9237,0.0,0.0,1.507,0.0,10.1957,4.4017,0.7861
2987046,1,87211,226.66,W,6290,111.0,150.0,visa,137.0,credit,441.0,87.0,gmail.com,gmail.com,3,3,0,1,4,2,114,1.0,T,T,T,M0,0.5003,0.0,,1.681,1.6126,0.6617,1.0,1.0,0.9629,0.0,11.7642,4.5424,1.4051
2987047,0,87226,15.26,S,14044,225.0,150.0,visa,,debit,325.0,87.0,gmail.com,nan,2,1,0,2,5,2,36,,nan,nan,T,nan,0.9172,0.0,,0.7152,1.3217,0.0669,0.0,0.0,1.038,0.0,5.702,6.7164,0.9397
2987048,0,87241,6.12,S,18760,,185.0,visa,137.0,debit,299.0,87.0,yahoo.com,outlook.com,5,2,0,6,2,1,98,34.0,nan,T,T,M0,0.5529,0.0,,1.5647,0.7991,0.4223,0.0,0.0,0.8586,0.0,10.3327,11.9038,1.5946
2987049,0,87245,20.67,W,14537,194.0,150.0,mastercard,226.0,credit,299.0,87.0,hotmail.com,nan,2,1,0,2,3,1,66,,nan,nan,nan,M1,0.4168,0.0,0.0,1.0925,1.7484,0.8483,0.0,1.0,0.9185,0.0,11.4858,1.141,2.5298
2987050,0,87315,4.59,H,16669,225.0,150.0,visa,226.0,debit,299.0,87.0,gmail.com,anonymous.com,2,3,0,3,4,3,206,20.0,nan,nan,T,nan,0.7927,0.0,,0.7638,1.5836,0.9784,1.0,0.0,1.0904,1.0,1.0525,5.8676,3.9638
2987051,1,87345,70.18,W,17340,225.0,150.0,mastercard,166.0,debit,330.0,87.0,gmail.com,nan,2,3,1,1,4,2,258,,nan,F,T,nan,0.3494,0.0,0.0,1.7898,0.5363,0.6721,1.0,0.0,1.3285,0.0,3.9081,7.2418,2.0172
2987052,0,87401,4.2,C,16955,321.0,150.0,visa,226.0,debit,299.0,,outlook.com,nan,1,5,0,1,6,2,48,30.0,T,nan,F,M1,0.2049,0.0,,1.5419,1.0578,1.2704,0.0,1.0,0.959,0.0,14.6554,1.036,5.8064
2987053,0,87446,34.07,W,3887,194.0,150.0,visa,226.0,debit,330.0,87.0,gmail.com,nan,4,1,1,3,2,3,46,9.0,nan,nan,nan,nan,0.7119,,0.0,0.8182,1.805,1.2959,0.0,0.0,1.5217,0.0,33.5919,1.6363,2.2859
2987054,0,87465,4.15,W,16794,321.0,150.0,american express,219.0,debit,330.0,87.0,yahoo.com,gmail.com,2,2,0,2,4,2,94,,F,T,F,M0,0.5268,0.0,,0.4653,1.4328,0.529,0.0,0.0,1.3521,0.0,16.7794,0.2236,1.9992
2987055,0,87516,24.04,W,15560,321.0,150.0,mastercard,226.0,debit,299.0,87.0,hotmail.com,nan,3,2,1,3,6,2,34,4.0,nan,nan,T,M0,0.6063,0.0,,0.6047,0.9026,1.9228,0.0,1.0,1.1907,0.0,6.5182,14.4059,0.1257
2987056,0,87517,171.29,W,2340,194.0,150.0,visa,102.0,credit,204.0,87.0,gmail.com,anonymous.com,3,2,0,3,3,1,88,0.0,T,nan,F,nan,0.3789,0.0,,1.9262,2.1537,0.8348,1.0,0.0,1.7898,1.0,10.9219,7.7729,0.579
2987057,1,87522,47.5,W,12929,490.0,150.0,visa,226.0,debit,325.0,87.0,hotmail.com,gmail.com,2,1,0,3,4,1,53,5.0,nan,T,T,M1,0.3612,0.0,0.0,0.7256,2.1675,0.164,0.0,,0.9569,0.0,17.1398,2.6959,1.5112
2987058,1,87523,13.96,W,1094,321.0,150.0,mastercard,219.0,credit,299.0,87.0,yahoo.com,nan,1,1,0,1,8,2,64,,T,nan,T,M0,0.6441,0.0,1.0,0.7123,1.7392,0.7795,0.0,0.0,0.8276,0.0,9.3094,3.9407,0.8818
2987059,0,87531,32.1,H,13840,194.0,150.0,visa,219.0,debit,325.0,87.0,gmail.com,outlook.com,5,4,1,1,6,2,156,29.0,nan,F,T,M0,0.3921,0.0,0.0,0.6741,1.7723,0.6769,0.0,0.0,1.2601,0.0,2.1409,11.031,3.7414
2987060,0,87540,33.72,W,16756,555.0,150.0,visa,219.0,nan,325.0,,hotmail.com,gmail.com,3,2,0,2,5,3,11,,T,nan,T,M1,0.3716,0.0,1.0,1.068,0.3224,0.9848,0.0,0.0,0.9851,0.0,4.6951,1.4303,0.4675
2987061,0,87547,53.12,W,9126,490.0,185.0,visa,226.0,debit,299.0,87.0,yahoo.com,nan,1,3,1,4,5,3,16,1.0,T,T,T,M0,0.5591,0.0,0.0,1.2645,0.172,0.4138,1.0,0.0,0.9145,,8.0166,6.9579,0.3575
2987062,0,87582,8.44,W,18881,555.0,150.0,visa,226.0,credit,441.0,87.0,yahoo.com,hotmail.com,2,2,1,3,4,1,12,8.0,T,T,T,M0,0.8956,0.0,0.0,0.4871,0.8075,0.8107,0.0,0.0,0.894,0.0,11.9285,9.0999,1.202
2987063,0,87591,59.89,W,11923,360.0,150.0,mastercard,219.0,debit,299.0,87.0,yahoo.com,nan,1,3,1,1,5,1,97,40.0,nan,nan,F,M1,0.4488,0.0,,0.7027,1.2039,0.667,1.0,0.0,1.0941,0.0,14.4797,2.0548,1.1759
2987064,0,87597,2.22,W,8053,194.0,150.0,visa,,debit,299.0,87.0,gmail.com,nan,2,2,0,2,3,1,202,,T,nan,T,M0,0.2344,0.0,0.0,-0.0414,-0.1299,0.8748,0.0,0.0,0.811,,0.2699,3.3745,8.3558
2987065,0,87613,17.64,C,16172,194.0,150.0,mastercard,226.0,debit,330.0,87.0,gmail.com,gmail.com,3,1,1,2,3,2,232,5.0,F,nan,T,nan,0.513,0.0,,1.1891,1.8278,0.9855,0.0,0.0,0.9681,0.0,8.3224,4.7249,1.8244
2987066,0,87616,20.32,R,11935,360.0,150.0,visa,226.0,credit,204.0,87.0,gmail.com,nan,4,1,1,2,3,3,74,17.0,nan,T,nan,nan,0.7277,0.0,0.0,1.1257,2.293,1.2074,0.0,0.0,0.848,0.0,22.1373,1.6891,0.5677
2987067,0,87648,62.39,W,13467,555.0,150.0,visa,226.0,debit,204.0,,gmail.com,anonymous.com,2,1,0,1,3,2,104,,T,F,T,M0,0.453,0.0,1.0,1.2605,0.9064,1.1645,1.0,0.0,0.8527,0.0,6.038,5.004,2.5509
2987068,0,87650,33.87,W,12073,321.0,150.0,visa,226.0,debit,441.0,87.0,gmail.com,nan,3,1,1,2,3,2,117,,T,T,F,M0,0.2726,0.0,,1.6043,1.5588,0.7474,0.0,0.0,0.6823,0.0,8.6911,1.903,2.0918
2987069,0,87737,8.12,W,8691,490.0,150.0,mastercard,117.0,credit,204.0,87.0,gmail.com,gmail.com,3,1,0,2,6,2,61,,F,T,T,M1,0.6388,0.0,0.0,0.3956,1.8378,0.4686,0.0,0.0,1.154,0.0,14.4853,1.188,0.8534
2987070,0,87766,12.37,W,14770,194.0,150.0,mastercard,137.0,debit,204.0,87.0,gmail.com,nan,1,2,0,4,4,2,105,9.0,T,nan,T,nan,0.8333,0.0,1.0,-0.0238,1.596,0.6515,0.0,0.0,1.1914,0.0,2.0968,0.6011,0.1358
2987071,0,87771,40.39,W,16688,225.0,150.0,mastercard,226.0,credit,325.0,87.0,gmail.com,nan,3,2,0,1,6,1,43,1.0,T,T,T,M1,0.1775,0.0,,1.1298,1.5596,0.2742,1.0,0.0,1.0241,0.0,2.3477,9.4295,5.893
2987072,0,87771,30.6,H,1201,555.0,150.0,visa,137.0,credit,,87.0,anonymous.com,nan,5,3,0,2,6,3,98,17.0,nan,T,T,M1,0.8098,0.0,,1.2631,1.9056,0.5871,0.0,0.0,0.7871,1.0,45.2498,1.3847,0.7085
2987073,0,87805,18.56,W,18882,490.0,150.0,american express,,debit,325.0,87.0,gmail.com,yahoo.com,2,3,0,6,4,4,68,,F,T,T,nan,0.7186,0.0,0.0,1.3655,1.943,0.932,1.0,0.0,1.9093,0.0,4.9022,1.3141,4.5727
2987074,0,87829,20.47,H,14829,555.0,150.0,mastercard,219.0,debit,325.0,87.0,yahoo.com,gmail.com,3,1,0,1,7,3,17,2.0,T,nan,T,M1,0.4141,,1.0,1.0233,1.1169,1.5845,1.0,0.0,0.9004,0.0,2.5405,1.7199,2.157
2987075,0,87855,66.43,W,4086,490.0,150.0,visa,166.0,debit,325.0,87.0,yahoo.com,anonymous.com,5,1,0,3,1,4,186,,nan,F,nan,nan,0.5388,,,1.0917,1.4282,0.9311,0.0,2.0,1.245,0.0,1.2203,6.3334,1.8312
2987076,0,87885,19.73,W,12305,225.0,150.0,visa,166.0,credit,299.0,87.0,hotmail.com,gmail.com,3,3,1,1,2,2,30,7.0,T,nan,F,M1,0.464,0.0,0.0,0.7244,2.2251,1.1863,0.0,0.0,0.9853,0.0,7.8477,15.017,0.3594
2987077,0,87886,30.32,W,3590,321.0,150.0,visa,226.0,debit,441.0,87.0,yahoo.com,hotmail.com,2,3,1,6,3,2,11,26.0,T,nan,F,nan,0.4559,0.0,0.0,0.7676,0.9045,0.173,0.0,0.0,0.5445,1.0,2.811,2.1468,2.8299
2987078,0,87895,290.02,W,8125,555.0,150.0,visa,137.0,credit,299.0,87.0,aol.com,nan,2,1,0,2,5,3,177,3.0,T,F,F,nan,0.3437,1.0,0.0,0.61,1.5127,0.7853,1.0,1.0,0.982,1.0,5.8566,9.8648,1.3971
2987079,0,87898,7.98,W,8860,321.0,150.0,american express,117.0,debit,325.0,87.0,yahoo.com,gmail.com,4,1,1,7,4,3,200,,nan,T,T,M2,0.2358,0.0,0.0,1.1374,0.4701,0.7295,0.0,0.0,1.2077,,30.1462,10.7447,0.8557
2987080,0,87937,5.2,C,6408,194.0,150.0,visa,117.0,debit,441.0,87.0,gmail.com,outlook.com,1,3,0,3,1,2,4,3.0,F,T,nan,nan,0.672,1.0,,1.3807,0.6445,0.6848,2.0,0.0,1.0597,0.0,10.4255,5.0617,0.6753
2987081,0,87957,72.5,W,2948,225.0,150.0,visa,226.0,debit,299.0,,gmail.com,nan,2,2,0,2,2,1,276,15.0,T,nan,T,nan,0.7309,2.0,0.0,0.8132,0.6792,0.5612,0.0,0.0,1.2421,0.0,22.7304,13.8643,0.8839
2987082,0,87965,16.8,C,4963,321.0,150.0,visa,226.0,debit,204.0,87.0,anonymous.com,gmail.com,3,1,0,2,2,2,7,3.0,F,nan,T,M0,0.5091,0.0,1.0,0.9853,1.0018,-0.1566,0.0,0.0,1.1098,0.0,6.2399,0.5882,2.712
2987083,0,87966,24.09,W,1693,,150.0,visa,117.0,debit,,87.0,yahoo.com,yahoo.com,1,3,2,2,8,1,23,6.0,T,nan,T,M0,0.5987,,0.0,1.2155,0.7795,0.5106,2.0,0.0,1.1828,0.0,22.3686,6.8204,1.195
2987084,0,87974,15.16,W,6363,360.0,150.0,mastercard,137.0,debit,441.0,87.0,gmail.com,nan,4,3,0,3,2,3,0,,T,T,T,M0,0.7338,0.0,0.0,0.7214,1.4875,0.7377,0.0,0.0,1.5375,0.0,17.3204,0.9823,4.1076
2987085,1,87982,25.54,W,13125,111.0,150.0,visa,226.0,debit,330.0,87.0,anonymous.com,yahoo.com,3,2,0,4,1,4,1,15.0,nan,T,T,M0,0.2423,0.0,1.0,0.9359,1.5612,0.8745,0.0,1.0,0.5361,,4.1275,2.6306,1.767
2987086,0,88008,163.78,W,12924,225.0,150.0,visa,166.0,debit,441.0,,gmail.com,nan,2,2,1,1,3,3,8,8.0,nan,nan,nan,M0,0.0744,0.0,1.0,0.7092,0.7151,0.4311,0.0,1.0,0.6616,0.0,11.4961,6.1133,0.9422
2987087,0,88028,73.86,W,6887,490.0,150.0,mastercard,226.0,debit,325.0,87.0,aol.com,gmail.com,3,2,1,1,5,1,216,6.0,T,nan,nan,M1,0.586,0.0,1.0,0.6913,1.6572,0.5809,0.0,0.0,0.8827,,14.8135,2.8067,2.171
2987088,0,88072,78.43,W,11851,225.0,150.0,mastercard,226.0,debit,299.0,87.0,gmail.com,nan,5,6,0,3,3,4,5,,T,T,nan,nan,0.3223,2.0,0.0,1.4515,0.2759,0.5488,0.0,0.0,0.5341,,15.3461,0.7243,0.3352
2987089,0,88085,8.03,W,8734,490.0,150.0,visa,137.0,debit,204.0,87.0,yahoo.com,yahoo.com,1,3,0,4,2,2,136,,nan,F,F,M2,0.1556,,,1.3039,0.5296,0.873,0.0,0.0,1.1048,0.0,5.9998,17.2946,0.3629
2987090,0,88087,10.47,W,10913,194.0,150.0,visa,226.0,debit,441.0,87.0,nan,gmail.com,3,2,0,1,4,3,84,,nan,F,T,nan,0.4694,0.0,1.0,1.5969,1.0374,1.2232,1.0,1.0,1.0581,0.0,13.8715,1.1209,1.1591
2987091,1,88112,1.94,W,17191,555.0,150.0,visa,166.0,credit,325.0,87.0,anonymous.com,gmail.com,5,6,0,1,4,3,154,10.0,T,T,T,M1,0.6576,0.0,0.0,0.5422,0.67,0.5572,1.0,0.0,1.3222,0.0,9.4144,4.6287,3.8093
2987092,1,88141,14.74,W,6293,111.0,185.0,mastercard,166.0,debit,299.0,87.0,yahoo.com,gmail.com,1,6,0,1,3,2,178,6.0,T,T,T,M0,0.8235,0.0,0.0,0.8043,1.4076,1.7574,0.0,0.0,0.8629,0.0,36.1217,2.1517,1.2858
2987093,0,88157,86.2,W,14845,,150.0,mastercard,166.0,credit,325.0,87.0,hotmail.com,nan,3,1,1,2,3,1,54,29.0,T,nan,T,M1,0.0855,2.0,,1.1363,1.9611,1.3708,0.0,0.0,0.5517,0.0,0.8826,0.5142,0.1515
2987094,0,88187,55.53,S,14820,490.0,150.0,visa,226.0,debit,204.0,87.0,yahoo.com,hotmail.com,3,3,1,1,3,2,16,,nan,nan,T,M0,0.0699,0.0,0.0,0.82,1.7392,0.3641,0.0,0.0,1.6747,0.0,8.2491,3.391,2.7566
2987095,1,88200,26.54,W,3291,490.0,150.0,mastercard,137.0,credit,299.0,87.0,gmail.com,nan,2,2,0,1,3,4,0,27.0,T,F,nan,M2,0.2679,,0.0,0.8917,0.9351,0.2862,0.0,0.0,0.8053,0.0,6.2385,1.0202,5.4972
2987096,0,88215,32.39,H,15395,111.0,150.0,visa,219.0,debit,325.0,,hotmail.com,nan,3,2,0,1,6,1,219,4.0,nan,nan,nan,M1,0.5829,0.0,0.0,0.7021,1.0001,0.1881,0.0,0.0,0.9485,0.0,0.8862,6.0124,0.6382
2987097,0,88226,16.63,W,13391,555.0,150.0,visa,,debit,204.0,,gmail.com,gmail.com,2,4,0,1,6,2,78,,T,T,nan,nan,0.7288,0.0,0.0,0.7033,1.361,0.559,0.0,0.0,0.4496,0.0,5.7334,0.6615,0.6909
